Item Catagory,Item Description,Item Name,Sell,image
"Fixings, Adhesives & Sealants",Wood Screws,5x80mm Vortex Power Wood Screws (100),£8.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x90mm Vortex Power Wood Screws (100),£8.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x100mm Vortex Power Wood Screws (100),£8.95,
"Fixings, Adhesives & Sealants",Wood Screws,5X80mm Vortex Power Wood Screws Tub (700),£34.95,
"Fixings, Adhesives & Sealants",Wood Screws,5X70mm Vortex Power Wood Screws Tub (800),£32.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x50mm Vortex Power Wood Screws Tub (1000),£29.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x100mm Vortex Power Wood Screws Tub (600),£38.95,
"Fixings, Adhesives & Sealants",Wood Screws,6x100mm Vortex Power Wood Screws (100),£8.95,
"Fixings, Adhesives & Sealants",Wood Screws,6x130mm Vortex Power Wood Screws (100),£16.95,
"Fixings, Adhesives & Sealants",Wood Screws,6x150mm Vortex Power Wood Screws (100),£19.95,
"Fixings, Adhesives & Sealants",Wood Screws,6x200mm Vortex Power Wood Screws (100),£24.95,
"Fixings, Adhesives & Sealants",Wood Screws,Ulti - Mate Ii 5x50mm High Performance Screws (200),£10.95,
"Fixings, Adhesives & Sealants",Wood Screws,Ulti - Mate Ii High Performance Screws (200) 5X60mm,£12.95,
